OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
34607,312,NCR,Native forest,1,Vic,1,Planned burns only
34618,236,NCR,Native forest,1,Vic,1,Unplanned burns only
34619,118,NCR,Native forest,1,Vic,1,Unplanned burns only
34627,389,NCR,Native forest,1,Vic,1,Planned burns only
34630,3,LEASE,Native forest,1,Vic,0,Forest not burnt
34631,9001,MUF,Native forest,1,Vic,0,Forest not burnt
34632,880,OCL,Native forest,1,Vic,0,Forest not burnt
34633,2,LEASE,Native forest,1,Vic,0,Forest not burnt
34634,59,OCL,Native forest,1,Vic,0,Forest not burnt
34638,31,LEASE,Native forest,1,Vic,0,Forest not burnt
34643,13,NCR,Native forest,1,Vic,1,Planned burns only
34644,27,NCR,Native forest,1,Vic,0,Forest not burnt
34646,479,OCL,Other forest,1,Vic,0,Forest not burnt
34658,2164, ,Non-forest,0,Vic,-9, 
34663,657, ,Non-forest,0,Vic,-9, 
34664,4227,PRIV,Native forest,1,Vic,0,Forest not burnt
34667,252,NCR,Other forest,1,Vic,0,Forest not burnt
34669,5,NCR,Native forest,1,Vic,2,Planned and Unplanned burns
34675,3436,NCR,Native forest,1,Vic,1,Unplanned burns only
34681,81,NCR,Native forest,1,Vic,0,Forest not burnt
34687,14,NCR,Other forest,1,Vic,0,Forest not burnt
34688,2109,MUF,Native forest,1,Vic,0,Forest not burnt
34690,938,NCR,Native forest,1,Vic,1,Planned burns only
34694,94,NCR,Native forest,1,Vic,1,Planned burns only
34707,6,PRIV,Native forest,1,Vic,1,Planned burns only
34722,89727, ,Non-forest,0,Vic,-9, 
34756,17, ,Non-forest,0,Vic,-9, 
34757,7,MUF,Native forest,1,Vic,1,Unplanned burns only
34758,1,MUF,Native forest,1,Vic,1,Unplanned burns only
34759,26,MUF,Native forest,1,Vic,1,Unplanned burns only
34762,94, ,Non-forest,0,Vic,-9, 
